commit	dataset	speedup	tau	avg_nodes	status	description
0011d9a	math500	8.27	10.37	129.00	discard	entropy-adapt ek 2-16 mts=128 — slight regression
0011d9a	mt-bench	4.35	6.10	129.00	keep	v7 mts=128 ek=8 — NEW mt-bench best (+4% over v2@70)
0011d9a	gsm8k	7.21	8.77	129.00	keep	v7 mts=128 ek=8 — NEW gsm8k best (+6% over v2@70)
0011d9a	humaneval	7.43	9.00	129.00	keep	v7 mts=128 ek=8 — NEW humaneval best (+6% over v4@32)
68cee1f	math500	8.27	10.08	129.00	keep	v7 mts=128 ek=8 final 256-sample confirmation post-session — CURRENT BEST
897aa7d	math500_32s	8.30	10.44	129.00	probe	Q3 gamma=0.25 (32 samples) — noise vs baseline
897aa7d	math500_32s	8.42	10.46	129.00	probe	Q3 gamma=0.5 (32 samples) — +0.06 speedup
897aa7d	math500_32s	10.47	10.34	129.00	probe	Q3 gamma=1.0 (32 samples) — SUSPICIOUS outlier; confirming
897aa7d	math500_32s	8.77	10.25	129.00	probe	Q3 gamma=2.0 (32 samples) — +0.4 speedup, tau slightly down
897aa7d	math500_32s	9.59	10.38	129.00	probe	Q3 baseline rerun 1 — hardware state warmer than apr17 (8.36)
897aa7d	math500_32s	8.51	10.46	129.00	discard	Q3 gamma=0.5 confirmed — -1.08 vs paired baseline 9.59; NOISE
897aa7d	math500_32s	9.50	10.34	129.00	discard	Q3 gamma=1.0 confirmed — 10.47 was noise fluke; -0.09 vs baseline
897aa7d	math500_32s	9.60	10.25	129.00	discard	Q3 gamma=2.0 confirmed — +0.01 vs baseline; tau down; NOT signal
897aa7d	math500_32s	8.32	10.38	129.00	probe	Q3 baseline rerun 2 — 1.27 speedup variance on SAME config
d2686ed	math500_32s	8.42	10.38	129.00	keep	stock baseline b=16 (paired OOD scan)
d2686ed	math500_32s	7.55	9.59	129.00	keep	stock b=20 OOD — -0.87 vs b=16 (stock can't extend)
d2686ed	math500_32s	6.26	7.66	129.00	keep	stock b=24 OOD — -2.16 vs b=16 (block-size cliff)
d2686ed	math500_32s	8.31	10.27	129.00	keep	VB step_18500 b=16 — -0.11 vs stock (minor dilution)
d2686ed	math500_32s	8.68	10.91	129.00	KEEP	VB step_18500 b=20 — BEATS stock b=16 +0.26/+0.53 — SOTA
d2686ed	math500_32s	8.58	10.85	129.00	KEEP	VB step_18500 b=24 — BEATS stock b=16 +0.16/+0.47
d2686ed	math500	8.33	10.08	129.00	keep	256-sample stock b=16 (fresh state) — SOTA baseline
d2686ed	math500	8.52	10.43	129.00	KEEP	256-sample VB step_18500 b=20 — NEW SOTA +0.19 over 8.33
d2686ed	mt-bench	4.41	6.10	129.00	keep	80-sample stock b=16 (fresh)
d2686ed	mt-bench	4.20	6.06	129.00	discard	80-sample VB b=20 — REGRESSES -0.21 on chat data
d2686ed	gsm8k	7.25	8.77	129.00	keep	128-sample stock b=16 (fresh)
d2686ed	gsm8k	7.32	8.91	129.00	KEEP	128-sample VB b=20 — +0.07 over stock
d2686ed	humaneval	7.46	9.00	129.00	keep	164-sample stock b=16 (fresh)
d2686ed	humaneval	7.59	9.21	129.00	KEEP	164-sample VB b=20 — +0.13 over stock
1e1dcd2	math500	8.13	9.89	129.00	discard	256-sample VB b=16 — regress vs stock (broad-mix dilution)
1e1dcd2	math500	8.50	10.49	129.00	KEEP	256-sample VB b=24 — ties b=20 speedup, BEST TAU +0.41 over stock
1e1dcd2	mt-bench	4.24	5.95	129.00	discard	80-sample VB b=16 — chat regresses
1e1dcd2	mt-bench	4.25	6.05	129.00	discard	80-sample VB b=24 — ~same as b=16 VB; chat disprefers VB
1e1dcd2	gsm8k	7.11	8.61	129.00	discard	128-sample VB b=16 — regress
1e1dcd2	gsm8k	7.23	8.85	129.00	keep	128-sample VB b=24 — +0 speedup, +0.08 tau (b=20 better)
1e1dcd2	humaneval	7.30	8.82	129.00	discard	164-sample VB b=16 — regress
1e1dcd2	humaneval	7.52	9.13	129.00	KEEP	164-sample VB b=24 — +0.06 speedup, +0.13 tau over stock
ea5501b	math500_32s	8.68	10.91	129.00	keep	VB b=20 chain=0 baseline (paired chain scan)
ea5501b	math500_32s	7.60	11.01	130.13	discard	VB b=20 chain=5 — tau +0.1, speedup -1.08 (no win)
ea5501b	math500_32s	7.51	11.00	131.25	discard	VB b=20 chain=10 — same
ea5501b	math500_32s	7.64	11.02	132.35	discard	VB b=20 chain=15 — same
ea5501b	math500_32s	7.61	11.04	133.28	discard	VB b=20 chain=19 (full block) — same
ea5501b	math500_32s	7.37	10.56	135.77	discard	stock b=16 chain=15 — confirms apr17 Q2 finding on fresh state
ea5501b	math500	8.40	10.38	129.00	discard	256-sample VB b=28 — 32s bump was noise; b=20 still best
812b295	mt-bench	4.22	6.04	129.00	keep	VB adaptive [16,20,24] aggdb0f40f	math500	8.49	10.43	129.00	keep	V3 b=20 256s — tied v1
db0f40f	math500	8.53	10.60	129.00	keep	V3 b=24 256s — +0.03 over v1
db0f40f	math500	8.59	10.65	129.00	KEEP	V3 b=28 256s — NEW BEST +0.07 over v1 b=20 8.52
db0f40f	math500	8.50	10.57	129.00	keep	V3 b=32 256s — slight drop from b=28
db0f40f	mt-bench	4.18	6.02	129.00	discard	V3 b=20 mt-bench — still below stock 4.41
db0f40f	gsm8k	7.30	8.93	129.00	keep	V3 b=20 gsm8k — tied v1
db0f40f	humaneval	7.56	9.19	129.00	keep	V3 b=20 humaneval — tied v1
db0f40f	math500	8.49	10.43	129.00	keep	V3 b=20 256s — tied v1
db0f40f	math500	8.53	10.60	129.00	keep	V3 b=24 256s — +0.03 over v1
db0f40f	math500	8.59	10.65	129.00	KEEP	V3 b=28 256s — NEW BEST +0.07 over v1 b=20 8.52
db0f40f	math500	8.50	10.57	129.00	keep	V3 b=32 256s
db0f40f	mt-bench	4.18	6.02	129.00	discard	V3 b=20 mt-bench
db0f40f	gsm8k	7.30	8.93	129.00	keep	V3 b=20 gsm8k
db0f40f	humaneval	7.56	9.19	129.00	keep	V3 b=20 humaneval
6eb1678	math500	8.70	10.80	129.00	KEEP	V5 b=32 256s — NEW SESSION SOTA +0.37 over stock 8.33
6eb1678	math500	8.65	10.76	129.00	keep	V5 b=28 256s — 2nd best
6eb1678	math500	8.55	10.62	129.00	keep	V5 b=24 256s
6eb1678	math500	8.45	10.40	129.00	keep	V5 b=20 256s — behind v3
6eb1678	mt-bench	4.15	5.97	129.00	discard	V5 mt-bench — regresses further vs v3
6eb1678	gsm8k	7.26	8.88	129.00	keep	V5 gsm8k b=20 — tied
6eb1678	humaneval	7.50	9.12	129.00	keep	V5 humaneval b=20
6eb1678	math500	8.22	10.79	257.00	keep	V5 b=20 B=256
6eb1678	math500	6.85	11.21	513.00	keep	V5 b=20 B=512
39b7705	math500	8.78	10.89	129.00	KEEP	V6 partial-mask ft b=28 256s — NEW SOTA +0.45 over stock
39b7705	math500	8.75	10.84	129.00	keep	V6 b=24 256s — +0.20 over V5 at same b
39b7705	math500	8.65	10.78	129.00	keep	V6 b=32 256s — tied V5
39b7705	math500	8.53	10.45	129.00	keep	V6 b=20 256s
39b7705	mt-bench	4.31	6.22	129.00	KEEP	V6 b=20 mt-bench — tau 6.22 BEATS stock 6.10
39b7705	gsm8k	7.31	8.92	129.00	keep	V6 b=20 gsm8k — marginal over V1/V3
39b7705	humaneval	7.61	9.26	129.00	KEEP	V6 b=20 humaneval — +0.15 over stock
39b7705	math500	8.53	11.25	257.00	KEEP	V6 b=32 B=256 — tau 11.25 new record at B=256
39b7705	math500_32	7.41	10.89	129.00	discard	V6 Variant B b=20 θ=0.90 — best step2, still sub-break-even
